ID;Fecha;Finca;Potrero;Nitrógeno;Fósforo;Potasio;Calcio;Magnesio;Cobre;Hierro;Zinc;Manganeso;Boro;Molibdeno;Silicio;Azufre;Aforo;Descanso;Proteina;Mes
1;14-Okt-23;Santa Rita;12B;1,43;0,24;1,60;0,41;0,20;3,76;113;30;130;3,21;0,00;0,00;0,13;0,32;6;10,90;octubre
2;23-Okt-23;Santa Rita;12A Nano;1,42;0,24;1,56;0,41;0,21;3,71;106;29;123;3,22;0,00;0,00;0,13;0,33;15;12,18;octubre
3;23-Okt-23;Santa Rita;12A SOS;1,33;0,23;1,61;0,42;0,20;3,67;115;30;138;3,24;0,00;0,00;0,13;0,22;15;11,85;octubre
4;23-Okt-23;Santa Rita;12B;1,41;0,24;1,58;0,41;0,20;3,73;111;30;129;3,22;0,00;0,00;0,13;0,08;15;12,16;octubre
5;01-Nov-23;Santa Rita;12B;1,41;0,23;1,54;0,40;0,21;3,69;104;29;122;3,22;0,00;0,00;0,13;0,32;24;14,83;noviembre
6;16-Nov-23;Santa Rita;12A Nano;1,66;0,25;1,84;0,39;0,22;3,97;100;28;100;3,13;0,00;0,00;0,14;1,03;39;17,31;noviembre
7;16-Nov-23;Santa Rita;12A SOS;1,62;0,25;1,82;0,39;0,22;3,95;102;29;104;3,14;0,00;0,00;0,14;0,52;39;17,53;noviembre
8;16-Nov-23;Santa Rita;12B;1,70;0,25;1,82;0,39;0,22;3,95;101;29;104;3,14;0,00;0,00;0,14;0,14;39;19,09;noviembre
9;21-Nov-23;Santa Rita;12A Nano;2,04;0,28;2,30;0,36;0,23;4,41;100;28;75;3,00;0,00;0,00;0,17;0,84;44;18,23;noviembre
10;21-Nov-23;Santa Rita;12A SOS;1,29;0,23;1,48;0,42;0,19;3,64;117;30;142;3,25;0,00;0,00;0,12;0,05;44;17,05;noviembre
11;21-Nov-23;Santa Rita;12B;1,70;0,25;1,82;0,39;0,22;3,95;101;29;104;3,14;0,00;0,00;0,14;0,14;44;18,79;noviembre
12;01-Dez-23;Santa Rita;12A Nano;2,74;0,36;3,57;0,32;0,21;5,65;127;28;41;2,65;0,00;0,00;0,26;0,33;54;17,13;diciembre
13;01-Dez-23;Santa Rita;12A SOS;2,30;0,31;2,74;0,34;0,23;4,83;101;27;53;2,87;0,00;0,00;0,20;0,26;54;14,40;diciembre
14;01-Dez-23;Santa Rita;12B;3,19;0,44;4,92;0,32;0,12;7,01;193;30;54;2,33;0,00;0,00;0,37;0,41;54;19,96;diciembre
15;06-Dez-23;Santa Rita;12A Nano;3,04;0,40;4,25;0,32;0,17;6,34;158;29;45;2,49;0,00;0,00;0,32;0,37;59;18,97;diciembre
16;06-Dez-23;Santa Rita;12A SOS;2,70;0,38;3,85;0,32;0,19;5,93;140;28;44;2,59;0,00;0,00;0,28;0,32;59;16,88;diciembre
17;06-Dez-23;Santa Rita;12B;3,47;0,46;5,17;0,32;0,11;7,27;206;31;58;2,27;0,00;0,00;0,39;0,43;59;21,66;diciembre
18;15-Dez-23;JC arciniegas ;1;1,76;0,26;1,90;0,37;0,24;4,02;90;28;85;3,11;0,00;0,00;0,15;0,15;5;11,00;diciembre
19;16-Dez-23;Santa Rita;12A Nano;2,84;0,38;3,84;0,32;0,19;5,92;138;28;42;2,59;0,00;0,00;0,28;0,35;69;17,73;diciembre
20;16-Dez-23;Santa Rita;12A SOS;3,19;0,43;4,68;0,32;0,14;6,77;140;28;51;2,38;0,00;0,00;0,35;0,40;69;19,93;diciembre
21;16-Dez-23;Santa Rita;12B;3,81;0,51;6,08;0,32;0,04;8,20;262;33;81;2,05;0,00;0,00;0,46;0,46;69;23,83;diciembre
22;29-Dez-23;JC arciniegas ;1;1,72;0,26;1,87;0,38;0,24;3,99;91;28;88;3,11;0,00;0,00;0,14;0,13;19;10,73;diciembre
